ticketNo,lotNo,validity,validTill,details,ticketFor,cost
XFF3F11MN0IMIA,mono01,n,,,common,14
DFF3F11MN0MUEK,mono01,n,,,common,14
BFF3F11OD0EWJX,mono01,n,,,common,14
NFF3F11OD0EWPL,mono01,n,,,common,14
YFF3F11OD0EWV9,mono01,n,,,common,14
UFF3F11OD0EXD8,mono01,n,,,common,14
WFF3F11OD0EXU7,mono01,n,,,common,14
CFF3F11OD0EY0U,mono01,n,,,common,14
SFF3F11OD0EY6I,mono01,n,,,common,14
MFF3F11OD0EYC6,mono01,n,,,common,14
BFF3F11OD0EYHT,mono01,n,,,common,14
HFF3F11OD0EYNH,mono01,n,,,common,14
XFF3F11OD0F1A2,mono01,n,,,common,14
UFF3F11OD0F1FP,mono01,n,,,common,14
WFF3F11OD0F1LD,mono01,n,,,common,14
NFF3F11OD0F1R1,mono01,n,,,common,14
AFF3F11OD0G1CN,mono01,n,,,common,14
YFF3F11OD0G1IB,mono01,n,,,common,14
GFF3F11OD0G1TM,mono01,n,,,common,14
XFF3F11OD0G20A,mono01,n,,,common,14
