ticketNo,lotNo,validity,validTill,details,ticketFor,cost
JEE2C11OI089UE,1,y,31-Jul-23,,common,155
IEE2C11OI08A12,1,y,31-Jul-23,,common,155
LEE2C11OI08A6P,1,y,31-Jul-23,,common,155
EEE2C11OI08ACD,1,y,31-Jul-23,,common,155
TEE2C11OI08AI1,1,y,31-Jul-23,,common,155
KEE2C11OI08ANO,1,y,31-Jul-23,,common,155
OEE2C11OI08ATC,1,y,31-Jul-23,,common,155
IEE2C11OI08B00,1,y,31-Jul-23,,common,155
TEE2C11OI08B5N,1,y,31-Jul-23,,common,155
IEE2C11OI08BBB,1,y,31-Jul-23,,common,155
IEE2C11OI08BGY,1,y,31-Jul-23,,common,155
IEE2C11OI08BMM,1,y,31-Jul-23,,common,155
UEE2C11OI08BSA,1,y,31-Jul-23,,common,155
IEE2C11OI08BXX,1,y,31-Jul-23,,common,155
REE2C11OI08C4L,1,y,31-Jul-23,,common,155
REE2C11OI08CA9,1,y,31-Jul-23,,common,155
SEE2C11OI08CFW,1,y,31-Jul-23,,common,155
GEE2C11OI08CLK,1,y,31-Jul-23,,common,155
JEE2C11OI08CR8,1,y,31-Jul-23,,common,155
IEE2C11OI08CWV,1,y,31-Jul-23,,common,155
