ticketNo,lotNo,validity,validTill,details,ticketFor,cost
HCF3F11OG07OR6,PT202303141484,n,,,adult,14
QCF3F11OG07PVR,PT202303141484,n,,,adult,14
NCF3F11OG07Q2F,PT202303141484,n,,,adult,14
GCF3F11OG07QDQ,PT202303141484,n,,,adult,14
GCF3F11OG07QJE,PT202303141484,n,,,adult,14
QCF3F11OG07QUP,PT202303141484,n,,,adult,14
NCF3F11OG07S5Y,PT202303141484,n,,,adult,14
ZCF3F11OG07WU1,PT202303141484,n,,,adult,14
FCF3F11OG07X6C,PT202303141484,n,,,adult,14
ACF3F11OG07YXK,PT202303141484,n,,,adult,14
UCF3F11OG0809V,PT202303141484,n,,,adult,14
DCF3F11OG08CV5,PT202303141484,n,,,adult,14
RCF3F11OG08D7G,PT202303141484,n,,,adult,14
RCF3F11OG08DD4,PT202303141484,n,,,adult,14
UCF3F11OG08DIR,PT202303141484,n,,,adult,14
ICF3F11OG08EYO,PT202303141484,n,,,adult,14
RCF3F11OG08FB0,PT202303141484,n,,,adult,14
ICF3F11OG08FRY,PT202303141484,n,,,adult,14
YCF3F11OG08H38,PT202303141484,n,,,adult,14
CCF3F11OG08HEJ,PT202303141484,n,,,adult,14
