ticketNo,lotNo,validity,validTill,details,ticketFor,cost
031000127025216646901,mg09,n,,,adult,60
031000127025210049251,mg09,n,,,adult,60
031000127025210847967,mg09,n,,,adult,60
031000127025211559691,mg09,n,,,adult,60
031000127025214143497,mg09,n,,,adult,60
031000127025214563692,mg09,n,,,adult,60
031000127025215808132,mg09,n,,,adult,60
031000127025216831961,mg09,n,,,adult,60
031000127025218073121,mg09,n,,,adult,60
031000127025219394464,mg09,n,,,adult,60
031000127025220119789,mg09,n,,,adult,60
031000127025221163448,mg09,n,,,adult,60
031000127025221363030,mg09,n,,,adult,60
031000127025221555886,mg09,n,,,adult,60
031000127025223759919,mg09,n,,,adult,60
031000127025226552539,mg09,n,,,adult,60
031000127025228982356,mg09,n,,,adult,60
031000127025229041018,mg09,n,,,adult,60
031000127025230806866,mg09,n,,,adult,60
031000127025232648115,mg09,n,,,adult,60
031000127025234629190,mg09,n,,,adult,60
031000127025234723284,mg09,n,,,adult,60
031000127025234818338,mg09,n,,,adult,60
031000127025234927856,mg09,n,,,adult,60
031000127025235383944,mg09,n,,,adult,60
031000127025235972076,mg09,n,,,adult,60
031000127025308300683,mg09,n,,,adult,60
031000127025239795258,mg09,n,,,adult,60
031000127025309041224,mg09,n,,,adult,60
031000127025309275130,mg09,n,,,adult,60
031000127025309827168,mg09,n,,,adult,60
031000127025309996242,mg09,n,,,adult,60
031000127025310187310,mg09,n,,,adult,60
031000127025310232444,mg09,n,,,adult,60
031000127025312586900,mg09,n,,,adult,60
031000127025316028007,mg09,n,,,adult,60
031000127025321380809,mg09,n,,,adult,60
031000127025321474907,mg09,n,,,adult,60
031000127025322690001,mg09,n,,,adult,60
031000127025322719331,mg09,n,,,adult,60
031000127025324314032,mg09,n,,,adult,60
031000127025325498980,mg09,n,,,adult,60
031000127025325650646,mg09,n,,,adult,60
031000127025327696906,mg09,n,,,adult,60
031000127025328415202,mg09,n,,,adult,60
031000127025328599550,mg09,n,,,adult,60
031000127025329984695,mg09,n,,,adult,60
031000127025330075877,mg09,n,,,adult,60
031000127025330859469,mg09,n,,,adult,60
031000127025330968927,mg09,n,,,adult,60
031000127025332577356,mg09,n,,,adult,60
031000127025336226126,mg09,n,,,adult,60
031000127025339180150,mg09,n,,,adult,60
031000127025339538048,mg09,n,,,adult,60
031000127025340159853,mg09,n,,,adult,60
031000127025340323992,mg09,n,,,adult,60
031000127025341929589,mg09,n,,,adult,60
031000127025391624775,mg09,n,,,adult,60
031000127025391720556,mg09,n,,,adult,60
031000127025395066505,mg09,n,,,adult,60
031000127025395253741,mg09,n,,,adult,60
031000127025398015393,mg09,n,,,adult,60
031000127025398028787,mg09,n,,,adult,60
031000127025399338523,mg09,n,,,adult,60
031000127025399496456,mg09,n,,,adult,60
031000127025403861995,mg09,n,,,adult,60
031000127025404328591,mg09,n,,,adult,60
031000127025240517791,mg09,n,,,adult,60
031000127025292505621,mg09,n,,,adult,60
031000127025294816632,mg09,n,,,adult,60
031000127025295142492,mg09,n,,,adult,60
031000127025296653072,mg09,n,,,adult,60
031000127025298536445,mg09,n,,,adult,60
031000127025298857822,mg09,n,,,adult,60
031000127025299048630,mg09,n,,,adult,60
031000127025300075265,mg09,n,,,adult,60
031000127025300382611,mg09,n,,,adult,60
031000127025303269333,mg09,n,,,adult,60
031000127025304012345,mg09,n,,,adult,60
031000127025405947196,mg09,n,,,adult,60
031000127025405150513,mg09,n,,,adult,60
031000127025406097559,mg09,n,,,adult,60
031000127025406602034,mg09,n,,,adult,60
031000127025409083433,mg09,n,,,adult,60
031000127025413729685,mg09,n,,,adult,60
031000127025413977176,mg09,n,,,adult,60
031000127025414437488,mg09,n,,,adult,60
031000127025414446717,mg09,n,,,adult,60
031000127025415293014,mg09,n,,,adult,60
031000127025417199230,mg09,n,,,adult,60
031000127025419133115,mg09,n,,,adult,60
031000127025419339743,mg09,n,,,adult,60
031000127025420318183,mg09,n,,,adult,60
031000127025420381891,mg09,n,,,adult,60
031000127025423905858,mg09,n,,,adult,60
031000127025424097217,mg09,n,,,adult,60
031000127025425676634,mg09,n,,,adult,60
031000127025427949221,mg09,n,,,adult,60
031000127025428202152,mg09,n,,,adult,60
031000127025428292108,mg09,n,,,adult,60
