ticketNo,lotNo,validity,validTill,details,ticketFor,cost
031000127022495026841,a12,n,,,adult,60
031000127022556864086,a13,n,,,adult,60
031000127022598547043,a14,n,,,adult,60
031000127022467219670,a15,n,,,adult,60
031000127022515111635,a16,n,,,adult,60
031000127022577607808,a17,n,,,adult,60
031000127022501365008,a18,n,,,adult,60
031000127022620518909,a19,n,,,adult,60
031000127022601740794,a20,n,,,adult,60
031000127022427261293,a21,n,,,adult,60
031000127022649535991,a22,n,,,adult,60
031000127022542291274,a23,n,,,adult,60
031000127022635150964,a24,n,,,adult,60
031000127022553770097,a25,n,,,adult,60
031000127022676944494,a26,n,,,adult,60
031000127022592517003,a27,n,,,adult,60
031000127022575839208,a28,n,,,adult,60
031000127022621305797,a29,n,,,adult,60
031000127022562226146,a30,n,,,adult,60
031000127022633542303,a31,n,,,adult,60
031000127022650679388,a32,n,,,adult,60
031000127022628699219,a33,n,,,adult,60
031000127022681169552,a34,n,,,adult,60
031000127022582952941,a35,n,,,adult,60
031000127022604360281,a36,n,,,adult,60
031000127022628418838,a37,n,,,adult,60
031000127022639306698,a38,n,,,adult,60
031000127022576193939,a39,n,,,adult,60
031000127022561885159,a40,n,,,adult,60
031000127022440795239,a41,n,,,adult,60
031000127022614488964,a42,n,,,adult,60
031000127022658314849,a43,n,,,adult,60
031000127022575479934,a44,n,,,adult,60
031000127022630218363,a45,n,,,adult,60
031000127022680386040,a46,n,,,adult,60
031000127022583735797,a47,n,,,adult,60
031000127022634395122,a48,n,,,adult,60
031000127022708552472,a49,n,,,adult,60
031000127022562683023,a50,n,,,adult,60
031000127022612982380,a51,n,,,adult,60
031000127022706814025,a52,n,,,adult,60
031000127022792336230,a53,n,,,adult,60
031000127022590767568,a54,n,,,adult,60
031000127022676548781,a55,n,,,adult,60
031000127022561442314,a56,n,,,adult,60
031000127022635569319,a57,n,,,adult,60
031000127022656697156,a58,n,,,adult,60
031000127022602459041,a59,n,,,adult,60
031000127022632352574,a60,n,,,adult,60
031000127022577508027,a61,n,,,adult,60
031000127022606564408,a62,n,,,adult,60
031000127022661607093,a63,n,,,adult,60
031000127022581692722,a64,n,,,adult,60
031000127022620628303,a65,n,,,adult,60
031000127022673016108,a66,n,,,adult,60
031000127022582796425,a67,n,,,adult,60
031000127022647885350,a68,n,,,adult,60
031000127022553586883,a69,n,,,adult,60
031000127022605778720,a70,n,,,adult,60
031000127022658130845,a71,n,,,adult,60
031000127022575662938,a72,n,,,adult,60
031000127022621350487,a73,n,,,adult,60
031000127022671706132,a74,n,,,adult,60
031000127022747920259,a75,n,,,adult,60
031000127022696180704,a76,n,,,adult,60
031000127022773266141,a77,n,,,adult,60
031000127022716444698,a78,n,,,adult,60
031000127022816112279,a79,n,,,adult,60
031000127022753230164,a80,n,,,adult,60
031000127022707009873,a81,n,,,adult,60
031000127022795219214,a82,n,,,adult,60
031000127022749164715,a83,n,,,adult,60
031000127022694344392,a84,n,,,adult,60
031000127022775036069,a85,n,,,adult,60
031000127022718873346,a86,n,,,adult,60
031000127022784390079,a87,n,,,adult,60
031000127022769798972,a88,n,,,adult,60
031000127022687345337,a89,n,,,adult,60
031000127022811247670,a90,n,,,adult,60
031000127022725305011,a91,n,,,adult,60
031000127022709338416,a92,n,,,child,60
031000127022755896717,a93,n,,,child,60
031000127022747450666,a94,n,,,child,60
031000127022784843847,a95,n,,,child,60
031000127022584038033,a96,n,,,child,60
031000127022811144085,a97,n,,,child,60
031000127022768484900,a98,n,,,child,60
031000127022688588929,a99,n,,,child,60
031000127022814133214,a100,n,,,child,60
031000127022727864283,a101,n,,,child,60
031000127022696331346,a102,n,,,child,60
031000127022768854639,a103,n,,,child,60
031000127022783755276,a104,n,,,child,60
031000127022737084905,a105,n,,,child,60
031000127022765701574,a106,n,,,child,60
031000127022711348707,a107,n,,,child,60
031000127022723825152,a108,n,,,child,60
031000127022811926653,a109,n,,,child,60
031000127022698755706,a110,n,,,child,60
031000127022770625399,a111,n,,,child,60
