ticketNo,lotNo,validity,validTill,details,ticketFor,cost
031000127001142105474,mg06,n,,,adult,60
031000127001189275720,mg06,n,,,adult,60
031000127001125303589,mg06,n,,,adult,60
031000127001256205969,mg06,n,,,adult,60
031000127001292648910,mg06,n,,,adult,60
031000127001214735851,mg06,n,,,adult,60
031000127001262929160,mg06,n,,,adult,60
031000127001324263525,mg06,n,,,adult,60
031000127001236749890,mg06,n,,,adult,60
031000127001283005567,mg06,n,,,adult,60
031000127001337778172,mg06,n,,,adult,60
031000127001336226504,mg06,n,,,adult,60
031000127001246395557,mg06,n,,,adult,60
031000127001294695170,mg06,n,,,adult,60
031000127001105021247,mg06,n,,,adult,60
031000127001120987836,mg06,n,,,adult,60
031000127001201130553,mg06,n,,,adult,60
031000127001100849846,mg06,n,,,adult,60
031000127001155942195,mg06,n,,,adult,60
031000127001204218800,mg06,n,,,adult,60
031000127001114490637,mg06,n,,,adult,60
031000127001158095018,mg06,n,,,adult,60
031000127001088966343,mg06,n,,,adult,60
031000127001137503396,mg06,n,,,adult,60
031000127001181468929,mg06,n,,,adult,60
031000127001102750046,mg06,n,,,adult,60
031000127001157252443,mg06,n,,,adult,60
031000127001203496600,mg06,n,,,adult,60
031000127001115277333,mg06,n,,,adult,60
031000127001161572050,mg06,n,,,adult,60
031000127001287368877,mg06,n,,,adult,60
031000127001274623498,mg06,n,,,adult,60
031000127001312449703,mg06,n,,,adult,60
031000127001299892036,mg06,n,,,adult,60
031000127001211704225,mg06,n,,,adult,60
031000127001340821310,mg06,n,,,adult,60
031000127001229744827,mg06,n,,,adult,60
031000127001248446520,mg06,n,,,adult,60
031000127001334289077,mg06,n,,,adult,60
031000127001223574834,mg06,n,,,adult,60
031000127001296460111,mg06,n,,,adult,60
031000127001315424556,mg06,n,,,adult,60
031000127001260203145,mg06,n,,,adult,60
031000127001276133926,mg06,n,,,adult,60
031000127001230203075,mg06,n,,,adult,60
031000127001247660832,mg06,n,,,adult,60
031000127001335011229,mg06,n,,,adult,60
031000127001217545050,mg06,n,,,adult,60
031000127001297968727,mg06,n,,,adult,60
031000127001313066004,mg06,n,,,adult,60
