ticketNo,lotNo,validity,validTill,details,ticketFor,cost
CBF3F11OG00KU6,BT2023036818,n,,,adult,14
HBF3F11OG00V78,BT2023036818,n,,,adult,14
VBF3F11OG00WSS,BT2023036818,n,,,adult,14
XBF3F11OG00WYG,BT2023036818,n,,,adult,14
HBF3F11OG00X54,BT2023036818,n,,,adult,14
HBF3F11OG00XGF,BT2023036818,n,,,adult,14
QBF3F11OG00XM3,BT2023036818,n,,,adult,14
WBF3F11OG01030,BT2023036818,n,,,adult,14
LBF3F11OG0108N,BT2023036818,n,,,adult,14
ABF3F11OG010EB,BT2023036818,n,,,adult,14
MBF3F11OG010JY,BT2023036818,n,,,adult,14
KBF3F11OG016OX,BT2023036818,n,,,adult,14
IBF3F11OG016UL,BT2023036818,n,,,adult,14
SBF3F11OG01719,BT2023036818,n,,,adult,14
SBF3F11OG017CK,BT2023036818,n,,,adult,14
LBF3F11OG017I8,BT2023036818,n,,,adult,14
SBF3F11OG019AG,BT2023036818,n,,,adult,14
ABF3F11OG01BE0,BT2023036818,n,,,adult,14
LBF3F11OG01BJN,BT2023036818,n,,,adult,14
SBF3F11OG01C1M,BT2023036818,n,,,adult,14
