ticketNo,lotNo,validity,validTill,details,ticketFor,cost
EJF3D11OI0U3CQ,vatp02,n,,,Adult,69
MJF3D11OI0U3IE,vatp02,n,,,Adult,69
UJF3D11OI0U3TP,vatp02,n,,,Adult,69
GJF3D11OI0U4BO,vatp02,n,,,Adult,69
WJF3D11OI0U4SN,vatp02,n,,,Adult,69
CJF3D11OI0U4YB,vatp02,n,,,Adult,69
NJF3D11OI0U54Y,vatp02,n,,,Adult,69
EJF3D11OI0U5LX,vatp02,n,,,Adult,69
ZJF3D11OI0U5X9,vatp02,n,,,Adult,69
VJF3D11OI0U72U,vatp02,n,,,Adult,69
RJF3D11OI0U78I,vatp02,n,,,Adult,69
PJF3D11OI0U7E6,vatp02,n,,,Adult,69
CJF3D11OI0U7PH,vatp02,n,,,Adult,69
DJF3D11OI0U8D4,vatp02,n,,,Adult,69
GJF3D11OI0U8IR,vatp02,n,,,Adult,69
TJF3D11OI0U8U3,vatp02,n,,,Adult,69
NJF3D11OI0U90Q,vatp02,n,,,Adult,69
FJF3D11OI0U96E,vatp02,n,,,Adult,69
DJF3D11OI0U9C2,vatp02,n,,,Adult,69
RJF3D11OI0U9T1,vatp02,n,,,Adult,69
