ticketNo,lotNo,validity,validTill,details,ticketFor,cost
010020146100082742,aquaonly01,n,,,adult,240
010020146100082743,aquaonly01,n,,,adult,240
010020146100082744,aquaonly01,n,,,adult,240
010020146100082745,aquaonly01,n,,,adult,240
010020146100082746,aquaonly01,n,,,adult,240
010020146100082747,aquaonly01,n,,,adult,240
010020146100082748,aquaonly01,n,,,adult,240
010020146100082756,aquaonly01,n,,,adult,240
010020146100082757,aquaonly01,n,,,adult,240
010020146100082758,aquaonly01,n,,,adult,240
