ticketNo,lotNo,validity,validTill,details,ticketFor,cost
KCF3F11OG0881F,PT202303117982,n,,,adult,14
ZCF3F11OG08873,PT202303117982,n,,,adult,14
NCF3F11OG088CQ,PT202303117982,n,,,adult,14
RCF3F11OG088IE,PT202303117982,n,,,adult,14
FCF3F11OG089YB,PT202303117982,n,,,adult,14
PCF3F11OG08A4Y,PT202303117982,n,,,adult,14
KCF3F11OG08ALX,PT202303117982,n,,,adult,14
ZCF3F11OG08BF8,PT202303117982,n,,,adult,14
FCF3F11OG08BW7,PT202303117982,n,,,adult,14
HCF3F11OG08C2U,PT202303117982,n,,,adult,14
KCF3F11OG08IOS,PT202303117982,n,,,adult,14
NCF3F11OG08I7T,PT202303117982,n,,,adult,14
PCF3F11OG08GL9,PT202303117982,n,,,adult,14
RCF3F11OG08HK7,PT202303117982,n,,,adult,14
QCF3F11OG08IUG,PT202303117982,n,,,adult,14
NCF3F11OG08JI3,PT202303117982,n,,,adult,14
