ticketNo,lotNo,validity,validTill,details,ticketFor,cost
B9A6960F24D6438795D7729B71BDA842,A1,n,,"SKI Dubai, Classic",adult,160
4A4435F660F14F8A96D3386959903727,A2,n,,"SKI Dubai, Classic",adult,160
9F687FF9337E488C9DA726241C168BB2,A1,n,,"SKI Dubai, Classic",adult,160
24AD9D1B8A4B448EA2AD1E89CD69EAA4,A1,n,,"SKI Dubai, Classic",child,160
1034B4F99194440E9761AC3E4B9B163D,A1,n,,"SKI Dubai, Classic",child,160
21C7372C92E4462B9096C45B00000245,A1,n,,"SKI Dubai, Classic",child,160
838F080B8BA542D99CE38D535C5672B5,A1,n,,"SKI Dubai, Classic",adult,160
BECB5ABC13774FF49BBBDABE58CDEF87,A2,n,,"SKI Dubai, Classic",adult,160
86B248FFF97F4C54A28992D7610F18CC,A3,n,,"SKI Dubai, Classic",adult,160
555E7E09EB8644ECB633D2DE7E9E0E26,A4,n,,"SKI Dubai, Classic",adult,160
F4D45FA8611547C49CED29ABEFFC0520,A5,n,,"SKI Dubai, Classic",adult,160
8E18096054534D99BA5B45FFB3549815,A6,n,,"SKI Dubai, Classic",adult,160
309DD75F3FD44E0580EC71278BEB6F82,A7,n,,"SKI Dubai, Classic",adult,160
7005D9B5E2FF462F832A645D6D295BEC,A8,n,,"SKI Dubai, Classic",adult,160
20BF34C2695948BE93427DFFEF01FBC8,A9,n,,"SKI Dubai, Classic",adult,160
6D286B1E3EC34C2A8C5B1CEA6BBE02D9,A10,n,,"SKI Dubai, Classic",adult,160
7A25A385926D4B1CA9005229B7DD5C46,A11,n,,"SKI Dubai, Classic",adult,160
C7CD85A26D4B47AA87E0858BEE5712C2,A12,n,,"SKI Dubai, Classic",adult,160
A8CAFC97142346929B69C6B6118DB392,A13,n,,"SKI Dubai, Classic",adult,160
EEFF384507014AD9B4FBCFD101BA0B86,A14,n,,"SKI Dubai, Classic",adult,160
89545E367FB94B98BE0D232C79DA1A0D,A15,n,,"SKI Dubai, Classic",adult,160
B9BDECA7E8E34CF4BE24766C92F39114,A16,n,,"SKI Dubai, Classic",adult,160
17A1390E3F7243D88488333D4C08720D,A17,n,,"SKI Dubai, Classic",adult,160
85CC83C9282547A888D28BC076FE0C0A,A18,n,,"SKI Dubai, Classic",adult,160
E957147C191B429C9BD353ADEEDEB006,A19,n,,"SKI Dubai, Classic",adult,160
CA883A883675400D817B0F64B4B00076,A20,n,,"SKI Dubai, Classic",adult,160
30DAECE74F7341CCBC622C52045D5C70,A21,n,,"SKI Dubai, Classic",adult,160
8759BCB37A7F44F5BDC3FF6C93EDAF58,A22,n,,"SKI Dubai, Classic",adult,160
4365AF105CFB44449892936161E4456A,A23,n,,"SKI Dubai, Classic",adult,160
6D91FE0565E542F483AC2FFAA42840A1,A24,n,,"SKI Dubai, Classic",adult,160
D62115AA0CA6488D9CF35CFA3A93A356,A25,n,,"SKI Dubai, Classic",adult,160
E445A517EEBF4DBCA6C8372289D8DF40,A26,n,,"SKI Dubai, Classic",adult,160
44035F4B25C147ECB38F13140F39B2D7,A27,n,,"SKI Dubai, Classic",adult,160
641D61040B7B4435876A779992066D55,A28,n,,"SKI Dubai, Classic",adult,160
2C5E2DAAE6104C0BACF5BBD104F199F8,A29,n,,"SKI Dubai, Classic",adult,160
64EAD801F65A4570866B203EBBCBDE4D,A30,n,,"SKI Dubai, Classic",adult,160
1230E9E0AB9C4A628B0428DC1BEC506D,A31,n,,"SKI Dubai, Classic",adult,160
53A36A975CD54816B2F39BBE6E3D1B6A,A32,n,,"SKI Dubai, Classic",adult,160
E3A813972C1C4B609628CF76F5FC5E5C,A33,n,,"SKI Dubai, Classic",adult,160
32D2D7842EA742709CF96B3F74849DD7,A34,n,,"SKI Dubai, Classic",adult,160
2B081F93614441EEB52F18E5A947C2F0,A35,n,,"SKI Dubai, Classic",adult,160
E14E45D78296473D8CEF9D83078AD428,A36,n,,"SKI Dubai, Classic",adult,160
247933E1E8F743769AC84C0160BBAE28,A37,n,,"SKI Dubai, Classic",adult,160
D43E2462FB1E466F9F03690650753B4B,A38,n,,"SKI Dubai, Classic",adult,160
6A1ADC7CB1904526A70CA02FE24709A3,A39,n,,"SKI Dubai, Classic",adult,160
BF8FAD4F55C242D6A98DF9308752DB68,A40,n,,"SKI Dubai, Classic",adult,160
4D64B98DAD094510B52537E71B4A21B2,A41,n,,"SKI Dubai, Classic",adult,160
B1A94F1D0B614F6493DCAFA122DD1E29,A42,n,,"SKI Dubai, Classic",adult,160
F2729A8F63C94F1CB34A21BB5644B7F0,A43,n,,"SKI Dubai, Classic",adult,160
351717F0F9C64E43A6B1ECBC5BEB8B6E,A44,n,,"SKI Dubai, Classic",adult,160
182CD2EFB45243F0A3602DE8E36C542E,A45,n,,"SKI Dubai, Classic",adult,160
3E30338D02A14D2BAC7051AE2A0F5681,A46,n,,"SKI Dubai, Classic",adult,160
